Pelle Icepick;Carried on the icy breath of winter, there appeared;Wyrmfang Sword;Helina's Dark Cowl;Bifröst's Glimmer;As fierce as a dragon's roar, you unleash flames, enemies consumed by your wrath.;With each blow you struck, the enemy's ranks seemed to multiply until you were outnumbered and outmatched.;Empty Fortresses standing as silent witnesses to the conflict
Truda Stormwatcher;From the frozen shores where the waves crash against the icy cliffs, rises;Frostbite Blade;Jarl's Valor Armor;Hilda's Might;With the speed of lightning, you strike, foes unable to react as you cut a path through their ranks.;Though you fought with all your strength, the enemy's relentless advance pushed you back until defeat was inevitable.;Forgotten Graveyards filled with fallen heroes and foes alike
Vinterhaug;From the village's heart emerges;Frost Giant's Warhammer;Frostfang Helm;Freyja's Tears;With a roar that shakes the earth, you cleave through their ranks, leaving only chaos in your wake.;Despite your steadfast defense, the enemy's cunning tactics pierced through, leaving you defeated and weary on the battlefield.;Burnt Fields
Torfinn Skullsplitter;From the icy shores where the sea meets the land, rises;Wyrmfire Halberd;Baldur Bright's Radiant Raiment;Idunn's Bounty;With the resilience of an oak tree, you stand firm, enemies breaking against your defense.;As you stood your ground, the enemy's ferocious assault gradually weakened your resolve, leading to your eventual defeat.;Desolate Farmsteads
Hrafn Blackwing;From the snowstorm's grip appeared;Stormcaller Axe;Stormrider's Mantle;Sleipnir's Swiftness;With the precision of a master craftsman, you dismantle their formations, leaving chaos in your wake.;Though you wielded your weapon with skill, the enemy's sheer force overwhelmed you, ensuring your defeat in combat.;Fallen Ramparts
Menglöð Witchbreath;Unveiled by the blizzard's dance approached;Thundercrash Maul;Valkyrie's Vanguard Plate;Nidhogg's Bane;With the wisdom of the Allfather, you outwit their strategies, leaving them bewildered and vulnerable in defeat.;Though you fought with the fury of Thor himself, the enemy's cunning proved too much to overcome.;Collapsed Barricades
Brandr Fireheart;Through the biting winds emerged;Thunderclap Mace;Thor's Steel Plate;Frigg's Whisper;With the cunning of a raven, you outmaneuver foes, leaving them in disarray.;Despite your bravery, the enemy's overwhelming numbers left you no chance but to accept your defeat on the battlefield.;Iron-forged Citadel
Nori the Navigator;Carried on the breath of the frost giants, there came;Valkyrie's Glaive;Nori the Navigator's Seafarer's Tunic;Gunnar's Resilience;Like a storm unleashed, you charge forth, foes scattering before your unstoppable advance.;Despite your valiant efforts, the enemy's cunning tactics outmaneuvered you, sealing your fate in defeat.;Broken Gates of a Once-mighty Stronghold
Nari Lifesnatcher;As the aurora danced overhead, there emerged;Ragnar's Scattering Reaper;Iceforged Gauntlets;Skadi's Snow Orb;Victory follows our path as a reliable guide.;The Vikings have shown you that your strength is not enough to overcome their might.;Cursed Marshlands where the Fallen Rest eternally
Fulla Bounty;Cast from the snowstorm's heart appeared;Frostwolf Longbow;Shieldmaiden's Frostweave Robes;Njord's Mariner's Compass;With the endurance of Njord, you weather storms, emerging victorious.;Despite your valor, the enemy's superior strategy led to your downfall, leaving you wounded and defeated in the end.;Ancient Standing Stones surrounded by Fallen Comrades
Vinterlys;Born beneath Yggdrasil's icy roots, there came;Solveig Swiftblade's Katana;Hildr Valkyrie's Winged Battle Helm;Frey's Blossoming Flower;Our heroic feat has pushed the boundaries of our glory and power.;As you fought valiantly, the enemy's cunning strategy outmatched you, leaving you defeated on the battlefield.;Wounded Rivers stained with the blood of warriors
Cael Heavyhand;From the sea's frothy embrace emerged;Frostbite Axe;Skuli the Schemer's Shadowcloak Mantle;Idunn's Apple;Like a tidal wave crashing upon the shore, you overwhelm them with your relentless onslaught, victory assured.;Despite your fierce resolve, their numbers overwhelmed you, leaving you wounded and defeated.;Blood-soaked Shoreline under the Pale Moonlight
Helvegr;From ancient stones imparts wisdom;Odin's Judgment Spear;Ingolf Armbreaker's Thunderclap Bracers;Freydis's Blessing;With the precision of a falcon's strike, you target their weak points, your blows finding their mark with deadly accuracy.;Despite your resilience, the enemy's relentless assault proved too much, leading to your inevitable defeat.;Raided Monastery
Frostleggur;From the depths of winter's grasp emerged;Dragonflame Dagger;Oddvar the Outlander's Nomad's Leather Jerkin;Gungnir's Echo;Through fire and fury, you carve a path to victory, your enemies left in awe of your prowess.;With every swing of your axe, the enemy's numbers seemed to multiply, until you found yourself outnumbered and overpowered.;Baldur's Meadow Altar
Baugi Earthdriller;As the northern lights danced overhead, there appeared;Thor's Threshing Mace;Yrsa the Young's Youthful Battlegear;Thorvald's Hammer;With the precision of a master craftsman, you dismantle their defenses, leaving them vulnerable to your onslaught.;As the battle raged on, your courage waned against the enemy's relentless assault, sealing your defeat.;Bloodied Snowdrifts
Brimir Alebrewer;Born beneath the gaze of Fenrir's icy eye, there came;Valkyrie's Lance;Stormbringer's Tempest Cloak;Baldur's Sun Ring;With the valor of a berserker, you charge into the fray, your battle cry echoing across the battlefield as you claim victory.;As your blade clashed with theirs, the enemy's relentless assault wore you down, leading to your inevitable defeat.;Drakkar Bay
Aegir Deepdweller;Born amidst the swirling blizzard, there appeared;Thyra Ravenshield's Longsword;Frostguard Gauntlets;Freyr's Blessing;Bloodied but unbowed, you emerge from the chaos, the champion of the battlefield.;Despite your determination, the enemy's superior strategy outmaneuvered you, leading to your eventual defeat in battle.;Ruined Strongholds
Thiassi Stormbringer;Born from the storm's fury emerged;Frostwolf Bow;Wendel the Whistler's Windwhisperer Cloak;Jotunheim's Heart;The clash of steel rings out in your favor, the battlefield now yours to command.;As you clashed blades, the enemy's shadow loomed large, casting you into the darkness of defeat.;Smoke-filled Ruins of a Once-thriving Settlement
Bolthorn the Elder;From the frozen peaks of Jotunheim, there descended;Frostbite Fang;Frostwolf Hide Tunic;Sif's Golden Locks;With a single stroke, you cleave through their ranks, your blade gleaming with the light of victory.;Though you fought with all your might, the enemy's ferocity proved too much, and you were left defeated on the battlefield.;Battlefield Strewn with Broken Weapons and Armor
Halgrim the Dire;From the ancient stones that mark the center of the village, imparts wisdom;Gunnar Ironfist's Hammer;Thora Stormspinner's Tempestborn Cape;Heimdall's Sentinel Bell;Like a tempest upon the sea, you sweep them aside with a ferocity that leaves no doubt of your dominance.;Your army was defeated, your hope of triumph extinguished.;Hidden Glade
Gang the Overwhelming;From the depths of winter's fury, there strode forth;Kettil Stormcloak's Battle Staff;Ketil Flatnose's Frostbite Gauntlets;Bifröst's Bridge;Our faith and bravery overcame all the challenges the Vikings placed in our path.;As the clash of steel echoed around you, the enemy's cunning tactics slowly wore you down, sealing your defeat.;Razed Monasteries
