Duchovný lupič Johan 150;Do cesty k pokladu sa postavil;Železný bodák;Bavlnenú vestu;Drahokam nesmrteľnosti;Nepriatelia sa podriadili pirátskym zákonóm po ich víťazstve.;Tvoje pirátske víťazstvá boli zahalené do vlnového pohrebu nezvratnej porážky.;Zlomené korby vytiahnuté na breh po bitke
Krutý náčelník Lukáš;Zradil ťa;Korálový sekáč;Poškodené pirátske topánky;Amulet morských vĺn;Tvoje pirátske srdce bilo s radosťou po porážke nepriateľa.;Tvoji piráti boli porazení a uväznení po nepriateľskej invázii.;Vyplené obchodné lode roztrúsené po mori
Kapitán Scarface;Z temnej hmly sa na teba vynoril;Kapitánov nôž;Šatku slobody;Záhadný amulet boja;Nepriateľ bol zahanbený tvojou pirátskou dominanciou.;Tvoja pokora bola nevyhnutná, keď sa nepriatelia stali dominantnými.;Rozbité fliašky rumu a opustené fľaše na pobreží, zostávajúce po oslavách porážky
Temný náčelník Ján;V pirátskom zámku vyhlásil s tebou bitku o poklad;Čiernu veternú pištoľ;Špinavý odev;Korálový medailón Krakena;Tvoje pirátske víťazstvo bolo oslavované po celom pobreží.;Tvoje plavidlo bolo prekonané nepriateľskou flotilou.;Oplakávané hroby pirátov na pobreží
Krutý lupič Lukáš;V diaľke si počul výstrel púšky a zaútočil na teba;Hrdzavú púšku;Kožené rukavice so zlatými klinčekmi;Kompas Kráľa Nera;Po porážke nepriateľa sa piráti mohli tešiť z bohatých koristí.;Nepriatelia ťa obkľúčili a donútili ťa k podriadeniu sa.;Zabudnuté pirátske knihy s popraskanými stránkami a poškvrnenými listami
Mrazivý tyran Theodor;Z ticha sa zjavila podozrivá postava menom;Krátku šabľu;Námornícke nohavice;Medailón šťastia;Zajaté plavidlá slúžili ako príležitosť pre tvojich pirátov, keď boli nepriatelia porazení.;Nepriatelia ťa obkladali zo všetkých strán, čo ti nechávalo žiadnu možnosť úniku.;Vydrancované pirátske ubytovne s opustenými lôžkami a znečistenými stenami
Tajomný Theodor;Tvoj poklad sa snaží ukradnúť;Striebornú šabľu;Vestu Kapitána Ismaela;Zázračný amulet Kapitána Auroru;Nepriateľský útok bol odrazený tvojou pirátskou rozhodnosťou a vytrvalosťou.;Nepriateľské plavidlá sa stali pre tvoje lodě nezdolateľnými.;Zasiahnuté a potopené pirátske lode pod hladinou mora
Hrobový pirát Michal;Z dymiacich vrakov sa zjavil;Korálový trident;Kovový náramok;Amulet manipulácie počasia;Tvoje víťazstvo rozžiarilo pirátsky oheň v tvojich očiach.;Nepriatelia ti vzali tvoju moc a ponechali ťa bezbranného.;Zlomené reťaze a okovy na brehu, opustené po oslobodení zajatých
Temný Terrence;Zlatý poklad stráži;Zlatú mušketu;Roztrhané rukavice;Zázračný prsteň zlodejov;Tvoje pirátske úsilie zaznamenalo triumf nad nepriateľom.;Tvoje pirátske kráľovstvo bolo zavalené vlnami porážky a straty.;Zlomené paluby s pozostatkami vypáleného dreva a popola
Kapitán Aurora;Na stratenom ostrove si našiel poklad;Temnú púšku;Náprsník so zlatou lebkou;Zlatý medailón Kapitána Redbearda;Tvoje pirátske údery poslali nepriateľa do bezmocného ústupu.;Nepriatelia zvíťazili a zobrali tvoje bohatstvo.;Opustené táboriská pirátov s vyhasnutými ohniskami
Drsný DávidOhnivý Oskar;Pod temnými vlnami sa skrýval;Kostlivý kord;Kožené rukavice s kovovými klinčekmi;Medailón temnosti;Tvoje pirátske víťazstvo zostane zaznamenané v moriach ako legenda.;Tvoje pirátske útoky neboli účinné proti nepriateľskej obrane.;Trosky zničených pirátskych lodí na pláži
Šialený pirát Donovan;Z poprašených oblakov sa vynoril pirát;Žraločí bodák;Kabát tyranov;Zázračný amulet temných vôd;Tvoja pirátska flotila sa stala nedobytným strašidlom pre nepriateľa.;Nepriatelia ti vzali tvoju korisť a vypudili ťa z prístavu.;Opustené loďské diárky, plné zápisov a záznamov o dobrodružstvách
Šialený Štefan;Zaútočila na teba obrovská chobotnica a na nej sedí;Temnú brokovnicu;Zlatý chránič hrudníka;Perlu morských hlbín;Tvoja pirátska vlajka sa vlnila nad zlomenými vrakmi nepriateľských lodí.;Nepriatelia ťa donútili k ústupu a zmocnili sa tvojich pokladov.;Osamelý pirátsky bunkr v hlbokom lese
Hrobný strážca Daniel;Z tichých zálivov ostrova sa ozývajú zvuky boja a zaútočil na teba;Kostlivý trident;Rozthraný pirátsky odev;Prsteň z ostrova lebiek;Tvoj pirátsky príbeh je zaznamenaný víťazstvom nad nepriateľom.;Nepriatelia prevzali kontrolu nad tvojimi územiami a vyhnali ťa z nich.;Opustené pirátske výbežky s poškodenými nábytkami a rozborenými stolmi
Kapitán Blackbeard;Z rozpálených pobreží zaútočil na teba;Morský tesák;Opasok Kapitána Whitebearda;Zlatý prsteň morských netvorov;Nepriateľské lodné útoky boli obrátené tvojou pirátskou obratnosťou.;60Tvoje pirátske bojové pokriky utíchli v temnote morských hĺbok.;Zlomené lode uviaznuté v zátokách, opustené svojimi posádkami
Desivý náčelník Tomáš;Na morských vlnách sa zjavil;Flintlockovú pušku;Topánky so zlatými náramkami;Perlu vôd života;Tvoji piráti vládnu moriam po triumfe nad nepriateľom.;Tvoje pirátske poklady boli stratené v širine morského bezdna.;Vyprahnuté pramene vody v opustených pirátskych táborech
Kapitán Mary;Popri ceste ku pokladu ťa zastavil;Zlatú šabľu;Námornicke vesty;Medailón morských víl;Tvoj pirátsky útok bol vystavený nepriateľskej bezbrannosti.;Tvoje pirátske víťazstvo sa zmenilo na prehru, keď sa nepriatelia spojili proti tebe.;Opustená pirátska jaskyňa plná opustených koristí
Zlý vládca strachu Peter;Z vysokej skaly ťa napadli;Pirátsku sekerku;Zlaté rukavice Kapitána Krakena;Paličku morského osvietenia;Nepriateľ bol ohromený pirátskou determináciou a nezastaviteľnosťou.;Tvoje pokusy o únik boli zablokované nepriateľskou blokádou.;Roztrhané pirátske vlajky, ktoré vliali sa vo vetre pred útekom pirátov
Prízrak morí Pišta;Tvoju loď napadol;Špinavú púšku;Kostnaté topánky;Prsteň korálov;Nepriateľská flotila sa ocitla v pasci a nemohla uniknúť.;Tvoje pirátske kráľovstvo padlo do hĺbky morských tajomstiev.;Opustené kováče a zbrojne s odhodenými nástrojmi a roztopeným kovom
Mrazivý tyran Tadeáš;V bludisku korálov sa skrýval pirát;Divokú sekeru;Kované pirátske štíty;Truhlu Stratených Duší;Nepriateľská flotila bola v rozklade po tvojom útoku.;Nepriatelia vyvrhli tvoje plány do temnoty a ponechali ťa bezmocného.;Pirátsky poklad ukrytý na opustenom ostrove
