Duch-lupič Johan;Do cesty k pokladu sa postavil;Železný bodák;Bavlnenú vestu;Drahokam nesmrteľnosti;Nepriatelia sa podriadili pirátskym zákonom po tvojom víťazstve.;Tvoje pirátske víťazstvá boli zahalené do vlnového hrobu nezvratnej porážky.;Zlomené korby vytiahnuté na breh po bitke
Krutý náčelník Lukáš;Zradil ťa;Korálový sekáčik;Poškodené pirátske topánky;Amulet morských vĺn;Tvoje pirátske srdce bilo s radosťou po porážke nepriateľa.;Tvoji piráti boli porazení a uväznení po nepriateľskej invázii.;Vyplienené obchodné lode roztrúsené po mori
Kapitán Scarface;Z temnej hmly sa na teba vynoril;Kapitánov nôž;Šatku slobody;Záhadný amulet boja;Nepriateľ bol zahanbený tvojou pirátskou dominanciou.;Tvoja pokora bola nevyhnutná, keď sa nepriatelia stali dominantnými.;Rozbité fľašky od rumu a opustené fľaše na pobreží. Zostali po oslavách výhry
Temný náčelník Ján;V pirátskom zámku vyhlásil s tebou bitku o poklad;Čiernu veternú pištoľ;Špinavý odev;Korálový medailón Krakena;Tvoje pirátske víťazstvo bolo oslavované po celom pobreží.;Tvoje plavidlo bolo prekonané nepriateľskou flotilou.;Oplakávané hroby pirátov na pobreží
Krutý lupič Lukáš;V diaľke si počul výstrel pušky a zaútočil na teba;Hrdzavú púšku;Kožené rukavice so zlatými klinčekmi;Kompas Kráľa Nera;Po porážke nepriateľa sa piráti mohli tešiť z bohatých koristí.;Nepriatelia ťa obkľúčili a donútili ťa k podriadeniu sa.;Zabudnuté pirátske knihy s popraskanými stránkami a poškvrnenými listami
Mrazivý tyran Teodor;Z ticha sa zjavila podozrivá postava menom;Krátku šabľu;Námornícke nohavice;Medailón šťastia;Zajaté plavidlá slúžili ako príležitosť pre tvojich pirátov, keď boli nepriatelia porazení.;Nepriatelia ťa obkľúčili zo všetkých strán, čo ti nenechalo žiadnu možnosť úniku.;Vydrancované pirátske ubytovne s opustenými lôžkami a znečistenými stenami
Tajomný Teodor;Tvoj poklad sa snaží ukradnúť;Striebornú šabľu;Vestu Kapitána Ismaela;Zázračný amulet Kapitána Auroru;Nepriateľský útok bol odrazený tvojou pirátskou rozhodnosťou a vytrvalosťou.;Nepriateľské plavidlá sa stali pre tvoje lode nezdolateľnými.;Zasiahnuté a potopené pirátske lode pod hladinou mora
Hrobový pirát Michal;Z dymiacich vrakov sa zjavil;Korálový trojzubec;Kovový náramok;Amulet manipulácie počasia;Tvoje víťazstvo rozžiarilo pirátsky oheň v tvojich očiach.;Nepriatelia ti vzali tvoju moc a ponechali ťa bezbranného.;Zlomené reťaze a okovy na brehu, opustené po oslobodení zajatých
Temný Terrence;Zlatý poklad stráži;Zlatú mušketu;Roztrhané rukavice;Zázračný prsteň zlodejov;Tvoje pirátske úsilie zaznamenalo triumf nad nepriateľom.;Tvoje pirátske kráľovstvo bolo zavalené vlnami porážky a straty.;Zlomené paluby s pozostatkami vypáleného dreva a popola
Kapitána Auroru;Na stratenom ostrove si našiel poklad;Temnú púšku;Náprstník so zlatou lebkou;Zlatý medailón Kapitána Červenofúza;Tvoje pirátske údery poslali nepriateľa do bezmocného ústupu.;Nepriatelia zvíťazili a zobrali tvoje bohatstvo.;Opustené táboriská pirátov s vyhasnutými ohniskami
